Dimension,"Question ",1 – Strongly Disagree,2 – Disagree,3 – Neutral / Unsure,4 – Agree,5 – Strongly Agree
Emotional,4. I have strategies that help me regulate my emotions,0,0,2,6,4
,"I feel that I am able to cope with stress or difficult emotions when they arise.
",1,1,2,6,2
,18. I feel supported when I am experiencing emotional challenges.,1,0,2,5,4
,,,,,,
"Occupational ","2. I feel satisfied with my current roles (work, school, volunteering, or other responsibilities).",0,0,2,4,6
,My daily responsibilities/activities bring me satisfaction.,1,0,1,8,2
,"21. I feel what I do each day has purpose or meaning. ",,,1,3,7
,,,,,,
"Intellectual ",6. I feel confident problem-solving or making decisions in daily life.,0,0,2,3,7
,I enjoy learning new things or building new skills,0,0,0,4,8
,"23. I participate in activities that I enjoy where I use my brain (e.g. reading, puzzles, games, learning new things, etc.)",,,,5,6
,,,,,,
"Environmental ",3. My living environment feels safe and comfortable.,0,0,2,3,7
,My environment supports my daily routines and activities.,0,1,2,4,5
,"19. I feel that I am able to manage environmental challenges (noise, lighting, stairs, clutter, etc.)",1,0,0,4,7
,,,,,,
"Financial ",My financial status does NOT add stress to my life,1,2,1,4,2
,I feel informed about making decisions related to finances.,1,0,0,5,6
,22. I feel able to manage my finances in a way that meets my basic needs.,1,1,,5,5
,,,,,,
"Social ","1. I feel connected to people who are important to me. ",0,1,0,1,10
,7. I feel comfortable communicating my needs to others.,,,4,3,5
,20. I feel supported by people in my life or community.,1,,2,5,4
,,,,,,
Physical,"5. My physical health allows me to participate in activities that are important to me.
",,,2,5,5
,"I feel able to manage my physical health needs (such as movement, pain, fatigue, or sleep) most days.",0,1,1,5,5
,17. I feel confident making choices that support my physical well-being.,0,0,1,7,4
,,,,,,
"Spiritual ",I feel a sense of purpose or meaning in my life.,1,0,1,3,7
,"I have values or beliefs that help guide me through challenges.
",1,0,1,3,6
,"24. I feel connected to something larger than myself (such as community, nature, beliefs, or personal values). ",,,1,6,5